iter	Passed	Remaining
0	144	14313
1	145	7115
2	145	4711
3	146	3508
4	146	2787
5	147	2306
6	147	1961
7	148	1704
8	148	1503
9	149	1342
10	149	1210
11	150	1101
12	150	1008
13	151	928
14	151	859
15	152	798
16	152	744
17	153	697
18	153	654
19	153	615
20	154	581
21	154	549
22	155	520
23	155	493
24	156	469
25	156	446
26	157	425
27	157	406
28	158	388
29	159	371
30	159	355
31	160	340
32	160	325
33	161	312
34	161	300
35	162	288
36	162	276
37	163	266
38	163	255
39	164	246
40	164	236
41	165	227
42	165	219
43	165	211
44	166	203
45	166	195
46	167	188
47	167	181
48	168	175
49	168	168
50	169	162
51	169	156
52	170	150
53	170	145
54	171	140
55	171	134
56	172	129
57	172	124
58	173	120
59	173	115
60	173	111
61	174	106
62	174	102
63	175	98
64	175	94
65	176	90
66	176	87
67	177	83
68	177	79
69	178	76
70	178	73
71	179	69
72	179	66
73	180	63
74	180	60
75	181	57
76	181	54
77	182	51
78	182	48
79	182	45
80	183	43
81	183	40
82	184	37
83	184	35
84	185	32
85	185	30
86	186	27
87	187	25
88	187	23
89	188	20
90	188	18
91	189	16
92	189	14
93	190	12
94	190	10
95	191	7
96	191	5
97	192	3
98	193	1
99	193	0
